City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,College,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
120,Rocha,UY,76.84,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
122,Tuktoyaktuk,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
124,Ternate,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
125,Faanui,PF,77.68,overcast clouds,-23.1203,-134.9692,Pension Maro'i
126,Ebeltoft,DK,35.6,overcast clouds,56.1944,10.6821,Hotel Ebeltoft Strand
129,Chimbote,PE,78.89,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
132,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
133,Central Point,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
136,Butaritari,KI,81.43,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
137,Kirakira,SB,83.5,overcast clouds,-8.103,156.8419,Imagination Island
138,Dunedin,NZ,51.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
139,Dauphin,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
142,High Rock,BS,62.6,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
143,Faya,SA,59.0,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
146,Rosarito,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
147,Norman Wells,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
148,Castro,CL,59.0,moderate rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
150,Ewo,CG,88.0,scattered clouds,-0.8725,14.8206,Residence Elonda Ewo
151,Floro,NO,39.2,light rain,61.5996,5.0328,Kinn Hotell Florø
152,Dalaba,GN,89.55,clear sky,10.7,-12.25,Hôtel Tangama
155,La Grande,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
157,Ada,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
158,Jizan,SA,60.8,scattered clouds,26.326,43.975,Mövenpick Hotel Qassim
159,Vaitape,PF,77.68,overcast clouds,-23.1203,-134.9692,Pension Maro'i
161,San Miguel,SV,80.6,clear sky,13.4833,-88.1833,Excalibur
163,Hasaki,JP,49.3,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
164,Mehamn,NO,39.2,light rain,61.5996,5.0328,Kinn Hotell Florø
165,Aitape,PG,82.18,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
169,Shimoda,JP,49.3,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
170,Namibe,AO,72.12,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
171,Uribia,CO,85.75,overcast clouds,11.7139,-72.266,Hotel Uribia
172,Xuddur,SO,80.55,clear sky,4.1213,43.8894,Banjanay Hotel
174,Bilma,NE,81.75,clear sky,18.6853,12.9164,Expeditions Ténére voyages
175,Haines Junction,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
180,Richards Bay,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
181,Tezu,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
182,Ray,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
183,Limbang,MY,75.2,moderate rain,4.75,115.0,Purnama Hotel
185,Hinton,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
188,Namanyere,TZ,63.01,overcast clouds,-7.5167,31.05,Manyovu Lodge
189,Kaitangata,NZ,51.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
192,East London,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
193,Axim,GH,83.32,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
197,Wakkanai,JP,49.3,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
200,Gat,IL,68.0,scattered clouds,31.61,34.7642,OlusHome
202,Nkhata Bay,MW,77.94,broken clouds,-11.6066,34.2907,Mayoka Village
204,Vallenar,CL,59.0,moderate rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
207,Bethel,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
209,Vila Franca Do Campo,PT,55.99,scattered clouds,39.05,-27.9833,Casa Das Faias
210,Peniche,PT,55.99,scattered clouds,39.05,-27.9833,Casa Das Faias
212,Cascais,PT,55.99,scattered clouds,39.05,-27.9833,Casa Das Faias
214,Edendale,NZ,51.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
216,Avarua,CK,75.2,broken clouds,-21.2078,-159.775,Paradise Inn
217,Macon,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
218,Durgapur,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
220,Barrow,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
221,Pomabamba,PE,78.89,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
222,Trinidad,UY,76.84,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
223,Ratanpur,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
224,Barraute,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
225,Liverpool,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
227,Malwan,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
228,Luanda,AO,72.12,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
229,Puerto Escondido,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
230,Hilo,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
231,Pombia,IT,39.2,clear sky,45.653,8.6336,Albergo Fontana
233,Champerico,GT,78.8,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
235,Putnam,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
238,Hay River,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
240,Garowe,SO,80.55,clear sky,4.1213,43.8894,Banjanay Hotel
241,Itoman,JP,49.3,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
242,Lucea,JM,81.0,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
245,Nola,IT,50.0,broken clouds,40.922,14.5329,Pamaran Hotel
