City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Xapuri,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
80,Cidreira,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
81,Trincomalee,LK,8.5711,81.2335,76.24,90,100,7.74,heavy intensity rain
82,Khatanga,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
83,Ponta Do Sol,PT,39.05,-27.9833,55.99,59,36,8.84,scattered clouds
84,Leningradskiy,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
85,Chuy,UY,-33.6971,-53.4616,76.84,49,1,10.27,clear sky
86,Tasiilaq,GL,77.484,-69.3632,-0.87,77,49,4.34,scattered clouds
87,Prainha,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
88,Ponta Do Sol,PT,32.6667,-17.1,57.0,74,53,3.0,light rain
89,Flinders,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
90,Alofi,NU,-19.0595,-169.9187,75.2,94,24,4.61,few clouds
91,Pangnirtung,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
92,Port Elizabeth,ZA,-33.5906,26.891,80.01,79,0,5.01,clear sky
93,Ocos,GT,14.5094,-92.1933,78.8,88,20,2.77,few clouds
94,Kuche,CN,30.634,117.8517,30.45,78,100,2.24,overcast clouds
95,Kenai,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
96,Bengkulu,ID,-0.0333,109.3333,80.6,89,75,4.61,light rain
97,Plettenberg Bay,ZA,-33.5906,26.891,80.01,79,0,5.01,clear sky
98,Gizo,SB,-8.103,156.8419,83.5,73,96,8.03,overcast clouds
99,Bluff,NZ,-46.6,168.3333,51.01,89,97,4.0,overcast clouds
100,Kemijarvi,FI,66.7131,27.4306,2.91,94,75,3.89,broken clouds
101,Ponta Delgada,PT,39.05,-27.9833,55.99,59,36,8.84,scattered clouds
102,Margate,ZA,-33.5906,26.891,80.01,79,0,5.01,clear sky
103,Kroya,ID,-0.0333,109.3333,80.6,89,75,4.61,light rain
104,Jijiga,ET,9.35,42.8,59.77,61,0,16.42,clear sky
105,Brae,GB,60.3964,-1.353,41.0,70,75,25.32,broken clouds
106,Dikson,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
107,Verkhovyna,UA,48.1557,24.7911,26.11,90,23,3.04,few clouds
108,Inta,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
109,Coos Bay,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
110,Sur,OM,17.0151,54.0924,73.4,49,0,4.61,clear sky
111,Muli,MV,-0.6,73.0833,81.57,74,87,10.67,overcast clouds
112,Georgiyevka,KZ,43.0369,74.7114,1.4,92,18,6.71,mist
113,Mendi,ET,9.35,42.8,59.77,61,0,16.42,clear sky
114,Oriximina,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
115,Naze,JP,28.3667,129.4833,49.3,73,72,17.72,broken clouds
116,Sovetskiy,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
117,College,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
118,Oktyabrskiy,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
119,Floriano,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
120,Rocha,UY,-33.6971,-53.4616,76.84,49,1,10.27,clear sky
121,New Norfolk,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
